query_id,engine,category,team_id,match_type,matched_string
chatgpt_exp_01_p2,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
chatgpt_exp_01_p2,ChatGPT,Fan Experience & Tickets,BOS,attribution,Fenway Park
chatgpt_exp_01_p2,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
chatgpt_exp_01_p2,ChatGPT,Fan Experience & Tickets,BOS,attribution,Fenway Park
chatgpt_exp_01_p2,ChatGPT,Fan Experience & Tickets,SFG,attribution,Oracle Park
chatgpt_exp_01_p2,ChatGPT,Fan Experience & Tickets,SDP,attribution,Petco Park
chatgpt_exp_01_p2,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
chatgpt_exp_05_p3,ChatGPT,Fan Experience & Tickets,WSH,attribution,Nationals Park
chatgpt_exp_05_p3,ChatGPT,Fan Experience & Tickets,LAA,attribution,Angel Stadium
chatgpt_exp_05_p3,ChatGPT,Fan Experience & Tickets,CWS,attribution,Rate Field
chatgpt_exp_05_p3,ChatGPT,Fan Experience & Tickets,MIL,attribution,American Family Field
chatgpt_exp_06_p1,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
chatgpt_exp_06_p1,ChatGPT,Fan Experience & Tickets,BOS,attribution,Fenway Park
chatgpt_exp_06_p2,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
chatgpt_exp_07_p1,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
chatgpt_exp_07_p1,ChatGPT,Fan Experience & Tickets,BOS,attribution,Fenway Park
chatgpt_exp_07_p1,ChatGPT,Fan Experience & Tickets,BAL,attribution,Camden Yards
chatgpt_exp_07_p3,ChatGPT,Fan Experience & Tickets,BAL,attribution,Camden Yards
chatgpt_exp_09_p1,ChatGPT,Fan Experience & Tickets,PIT,attribution,PNC Park
chatgpt_exp_09_p1,ChatGPT,Fan Experience & Tickets,BAL,attribution,Camden Yards
chatgpt_exp_10_p1,ChatGPT,Fan Experience & Tickets,BAL,attribution,Camden Yards
chatgpt_exp_10_p1,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
chatgpt_exp_10_p1,ChatGPT,Fan Experience & Tickets,BAL,attribution,Camden Yards
chatgpt_exp_10_p1,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
chatgpt_exp_10_p1,ChatGPT,Fan Experience & Tickets,BOS,attribution,Fenway Park
chatgpt_exp_10_p1,ChatGPT,Fan Experience & Tickets,CHC,attribution,Wrigley Field
claude_fan_01_p2,Claude,AI-First Fan,CHC,attribution,Wrigley Field
claude_fan_06_p3,Claude,AI-First Fan,CHC,attribution,Wrigley Field
claude_exp_02_p3,Claude,Fan Experience & Tickets,NYY,attribution,Yankee Stadium
claude_exp_04_p1,Claude,Fan Experience & Tickets,COL,attribution,Coors Field
claude_exp_04_p1,Claude,Fan Experience & Tickets,MIN,attribution,Target Field
claude_exp_05_p3,Claude,Fan Experience & Tickets,LAD,attribution,Dodger Stadium
claude_exp_06_p2,Claude,Fan Experience & Tickets,COL,attribution,Coors Field
claude_exp_06_p2,Claude,Fan Experience & Tickets,COL,attribution,Coors Field
claude_exp_06_p2,Claude,Fan Experience & Tickets,CHC,attribution,Wrigley Field
claude_exp_07_p1,Claude,Fan Experience & Tickets,CHC,attribution,Wrigley Field
claude_exp_07_p1,Claude,Fan Experience & Tickets,CHC,attribution,Wrigley Field
claude_exp_10_p1,Claude,Fan Experience & Tickets,CHC,attribution,Wrigley Field
claude_exp_10_p1,Claude,Fan Experience & Tickets,BOS,attribution,Fenway Park
claude_exp_10_p1,Claude,Fan Experience & Tickets,BOS,attribution,Fenway Park
claude_exp_10_p1,Claude,Fan Experience & Tickets,CHC,attribution,Wrigley Field
claude_exp_10_p1,Claude,Fan Experience & Tickets,COL,attribution,Coors Field
claude_exp_10_p2,Claude,Fan Experience & Tickets,CHC,attribution,Wrigley Field
claude_exp_10_p2,Claude,Fan Experience & Tickets,NYM,attribution,Citi Field
claude_exp_10_p2,Claude,Fan Experience & Tickets,NYM,attribution,Citi Field
claude_spon_02_p2,Claude,Sponsorship & Brand Partnership,NYM,attribution,Citi Field
claude_brand_11_p1,Claude,Brand Identity & Narrative,BAL,attribution,Camden Yards
gemini_exp_01_p3,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_01_p3,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_01_p3,Gemini,Fan Experience & Tickets,COL,attribution,Coors Field
gemini_exp_04_p2,Gemini,Fan Experience & Tickets,COL,attribution,Coors Field
gemini_exp_05_p1,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_05_p1,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_05_p1,Gemini,Fan Experience & Tickets,COL,attribution,Coors Field
gemini_exp_05_p1,Gemini,Fan Experience & Tickets,COL,attribution,Coors Field
gemini_exp_06_p1,Gemini,Fan Experience & Tickets,COL,attribution,Coors Field
gemini_exp_06_p1,Gemini,Fan Experience & Tickets,COL,attribution,Coors Field
gemini_exp_06_p1,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_06_p1,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_06_p2,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_06_p2,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_06_p2,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_06_p3,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_06_p3,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_06_p3,Gemini,Fan Experience & Tickets,COL,attribution,Coors Field
gemini_exp_07_p1,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_10_p1,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
gemini_exp_10_p1,Gemini,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_01_p1,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_01_p1,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_01_p1,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_01_p1,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_01_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_01_p2,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_01_p2,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_01_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_01_p3,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_01_p3,Perplexity,Fan Experience & Tickets,BOS,attribution,Fenway Park
perplexity_exp_02_p1,Perplexity,Fan Experience & Tickets,WSH,attribution,Nationals Park
perplexity_exp_02_p1,Perplexity,Fan Experience & Tickets,STL,attribution,Busch Stadium
perplexity_exp_02_p1,Perplexity,Fan Experience & Tickets,BAL,attribution,Oriole Park at Camden Yards
perplexity_exp_02_p3,Perplexity,Fan Experience & Tickets,STL,attribution,Busch Stadium
perplexity_exp_02_p3,Perplexity,Fan Experience & Tickets,STL,attribution,Busch Stadium
perplexity_exp_02_p3,Perplexity,Fan Experience & Tickets,WSH,attribution,Nationals Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,BOS,attribution,Fenway Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,BOS,attribution,Fenway Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,BAL,attribution,Camden Yards
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,SEA,attribution,T-Mobile Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,ATL,attribution,Truist Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p1,Perplexity,Fan Experience & Tickets,BOS,attribution,Fenway Park
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,BAL,attribution,Camden Yards
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,LAD,attribution,Dodger Stadium
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,NYM,attribution,Citi Field
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,MIN,attribution,Target Field
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,COL,attribution,Coors Field
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,STL,attribution,Busch Stadium
perplexity_exp_05_p2,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SEA,attribution,T-Mobile Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,COL,attribution,Coors Field
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SEA,attribution,T-Mobile Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,COL,attribution,Coors Field
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,LAD,attribution,Dodger Stadium
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,STL,attribution,Busch Stadium
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_05_p3,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,ATL,attribution,Truist Park
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,ATL,attribution,Truist Park
perplexity_exp_06_p1,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,ATL,attribution,Truist Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,ATL,attribution,Truist Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,PIT,attribution,PNC Park
perplexity_exp_06_p3,Perplexity,Fan Experience & Tickets,ATL,attribution,Truist Park
perplexity_exp_07_p1,Perplexity,Fan Experience & Tickets,BOS,attribution,Fenway Park
perplexity_exp_07_p1,Perplexity,Fan Experience & Tickets,CHC,attribution,Wrigley Field
perplexity_exp_10_p2,Perplexity,Fan Experience & Tickets,STL,attribution,Busch Stadium
perplexity_exp_10_p2,Perplexity,Fan Experience & Tickets,LAD,attribution,Dodger Stadium
perplexity_exp_10_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_10_p3,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_10_p3,Perplexity,Fan Experience & Tickets,PHI,attribution,Citizens Bank Park
perplexity_exp_10_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_10_p3,Perplexity,Fan Experience & Tickets,PHI,attribution,Citizens Bank Park
perplexity_exp_10_p3,Perplexity,Fan Experience & Tickets,SDP,attribution,Petco Park
perplexity_exp_10_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_10_p3,Perplexity,Fan Experience & Tickets,PHI,attribution,Citizens Bank Park
perplexity_exp_12_p3,Perplexity,Fan Experience & Tickets,LAD,attribution,Dodger Stadium
perplexity_exp_12_p3,Perplexity,Fan Experience & Tickets,SFG,attribution,Oracle Park
perplexity_exp_12_p3,Perplexity,Fan Experience & Tickets,BAL,attribution,Camden Yards
perplexity_exp_12_p3,Perplexity,Fan Experience & Tickets,NYY,attribution,Yankee Stadium
